WELLREGNO,TOPHOLEYDD,TOPHOLEXDD,QUADRANTNO,BLOCKNO,DATUMELEV,WATERDEPTH,Oilp_80_95,Watp_80_95,Oilp_95_10,Watp_95_10,Zone
2/05-H58,60.95375694,0.939707778,2,5,157,470,323594,77520,307414.3,73644,A
2/05-H5Z,60.95366667,0.939972222,2,5,157,470,650402,133434,617881.9,126762.3,A
2/05-H6,60.95388889,0.939722222,2,5,157,470,14414,0,13693.3,0,A
2/05-H7,60.95388889,0.939722222,2,5,157,470,187872,0,178478.4,0,A
2/05-H8,60.95388889,0.939722222,2,5,157,470,5879893,3077036,5585898.35,2923184.2,A
2/05-H9,60.95388889,0.939722222,2,5,157,470,15964,0,15165.8,0,A
210/24a-A1,61.26086667,0.709219444,210,24,85,518,4179902,1012315,3970906.9,961699.25,A
210/24a-A2,61.26071944,0.709127778,210,24,85,518,2885200,272690,2740940,259055.5,A
210/24a-B1,61.25277694,0.735593611,210,24,80,520,2660547,1083771,2527519.65,1029582.45,A
210/24a-B2,61.25283333,0.736175,210,24,80,522,2660996,1254016,2527946.2,1191315.2,A
210/24a-B5,61.25293694,0.736091111,210,24,84,519,936684,9476,889849.8,9002.2,A
210/24a-B6,61.25285,0.734927778,210,24,82,518,448486,3530,426061.7,3353.5,A
210/25a-A10Z,61.276,0.9195,210,25,201,751,1108306,98350,1052890.7,93432.5,A
210/25a-A12Z,61.276,0.9195,210,25,201,751,836100,43410,794295,41239.5,A
210/25a-A13,61.276,0.9195,210,25,210,751,7262770,3198120,6899631.5,3038214,A
210/25a-A14,61.276,0.9195,210,25,201,550,9738392,4062240,9251472.4,3859128,A
210/25a-A15,61.27627778,0.91925,210,25,201,550,2692670,1253147,2558036.5,1190489.65,A
210/25a-A17,61.27627778,0.91925,210,25,201,550,520312,169049,494296.4,160596.55,A
210/25a-A18Y,61.27627778,0.91925,210,25,201,550,674258,476022,640545.1,452220.9,A
210/25a-A20,61.27627861,0.919240556,210,25,201,544,3697964,1181932,3513065.8,1122835.4,A
210/25a-A21,61.27626389,0.919308333,210,25,201,544,1174800,349606,1116060,332125.7,A
210/25a-A22Z,61.27627222,0.919355,210,25,201,550,511840,30509,486248,28983.55,A
210/25a-A23Z,61.27622778,0.957644444,210,25,201,548,745611,454039,708330.45,431337.05,A
210/25a-A24,61.27627778,0.91925,210,25,201,544,493314,14720,468648.3,13984,A
