WGS84 UTM 30N
514725 6381054
35.34388872940326 58.746450582519174 159.279
20.249597116024233 -17.24857075419277 159.379
71.39118575869361 -70.73119534365833 159.479
-41.78642697085161 -18.496977305971086 159.579
49.95746927277651 -23.23570157494396 159.279
28.874767460569274 26.104254588484764 159.479
-111.8163485241239 -59.343611360527575 159.479
87.93501657253364 12.60448601655662 159.279
-16.480392444995232 108.17600508593023 159.479
-47.72296669456409 -47.45715730637312 159.379
27.52867963060271 18.866229404695332 159.479
-6.639553331537172 1.8298636926338077 159.379
25.40160483372165 7.991792272776365 159.479
77.90658076060936 -38.070212067104876 159.379
-58.02772061136784 55.578522846102715 159.279
-70.005674837681 -5.994292995892465 159.679
-56.72111096337903 62.7452514115721 159.379
-0.3340800727601163 -122.35677008330822 159.379
-35.384515703539364 14.07063990086317 159.479
-54.85276982339565 -83.71971113421023 159.479
7.617221939901356 74.31805140059441 159.579
-102.40225132618798 -12.264981438405812 159.379
63.78773537959205 45.6732211727649 159.379
-90.90595980378566 45.71571845933795 159.479
-22.607891679625027 -77.63164758682251 159.379
1.2972668254515156 41.72282696515322 159.379
83.61133324052207 -9.129243203438818 159.379
-17.223337245290168 104.58303186949342 159.479
58.38416432309896 -135.82419991586357 159.379
71.39118575869361 -70.73119534365833 159.479
56.095085514942184 -146.47040268033743 159.379
9.904120475810487 85.10647289361805 159.379
-13.484299179399386 122.7118851179257 159.279
9.404067231866065 -71.48541700839996 159.479
-56.3536724789883 -98.2872622385621 159.479
-41.78642697085161 -18.496977305971086 159.579
2.530650091415737 48.895494169555604 159.379
35.64373427350074 -95.48612186405808 159.379
-76.43731002986897 118.334253446199 159.579
86.49778362835059 5.32899952493608 159.379
48.58971251390176 -30.44907295331359 159.379
87.1424750611186 90.48380877636373 159.679
-51.58569195284508 88.08132234215736 159.479
-83.72435579739977 81.91964636556804 159.479
12.556175426696427 99.65349307656288 159.479
9.904120475810487 85.10647289361805 159.379
-17.223337245290168 104.58303186949342 159.479
39.808718584419694 80.55176817439497 159.479
21.648686827975325 -9.957785106264055 159.379
-83.20954159728717 -71.43699168413877 159.379
50.73192472662777 -19.636417060159147 159.379
-78.83784024958732 -49.39094093441963 159.279
-75.65775300614769 121.92425534687936 159.579
31.806889669329394 -113.67412590514868 159.679
98.97800546057988 67.01545069925487 159.379
-97.38112340430962 13.079892514273524 159.279
39.42262723261956 -77.36326476093382 159.579
56.095085514942184 -146.47040268033743 159.379
-79.38213857036317 103.80169845186174 159.379
-111.8163485241239 -59.343611360527575 159.479
-68.89572467788821 1.3510804064571857 159.679
71.7770535646705 85.53559586033225 159.579
52.24394123448292 -12.345209661871195 159.579
-4.695364084618632 12.762376102618873 159.179
13.234287755098194 103.2493289038539 159.479
-40.418692969484255 -11.234158660285175 159.479
-79.58287750056479 -52.888044535182416 159.379
9.404067231866065 -71.48541700839996 159.479
71.39118575869361 -70.73119534365833 159.479
3.2070514012593776 52.50987618975341 159.479
12.024402869748883 96.02107971347868 159.379
56.095085514942184 -146.47040268033743 159.379
12.25597008538898 -57.03663250524551 159.479
-1.7652944110450335 27.186696717515588 159.379
-50.621329507790506 -61.98028443288058 159.379
-75.31479691440472 -31.145418542437255 159.379
12.556175426696427 99.65349307656288 159.479
-3.199482941359747 19.94527010153979 159.279
-82.55019337224076 -67.67425118479878 159.479
21.648686827975325 -9.957785106264055 159.379
-67.26688616344472 8.556076858192682 159.579
-95.86863105889643 20.309197451919317 159.379
-47.971270972455386 106.25917063653469 159.479
38.76772264036117 -80.94664998911321 159.479
80.72978992410935 -23.57200355734676 159.379
76.45103470428148 -45.345761054195464 159.379
-89.4683016044437 52.95712612289935 159.479
-10.430451792490203 -16.224962551146746 159.479
70.34622778254561 78.32507818937302 159.579
62.80460428260267 -114.1210745414719 159.379
-43.48531759373145 127.8449117532 159.579
-63.086505050363485 30.162335897795856 159.179
30.292281963163987 33.34563230443746 159.479
63.048566745594144 41.97201287932694 159.279
18.682355442491826 -24.447194297797978 159.479
-20.248015870107338 90.13363890722394 159.279
55.04426655470161 2.0694029396399856 159.379
-17.071636231441516 -48.747099163010716 159.579
-14.04028239363106 -34.279128573834896 159.479
5.111955277156085 -93.36119341943413 159.379
3.73256455961382 -100.60242227744311 159.579
12.556175426696427 99.65349307656288 159.479
-87.28441022761399 63.81933756638318 159.479
-91.62061493343208 42.088845090940595 159.379
-94.35283242521109 27.541607370600104 159.379
23.124457637022715 -2.73784564062953 159.379
